,company_names,rating_new,employer_size,industry,review,salaries,jobs,location
0,Bajaj Allianz Life Insurance,3.8,1001 to 5000 Employees,Insurance Agencies & Brokerages,716,865,--,"Headquarters in Pune, India"
1,UltraTech Cement,3.9,10000+ Employees,Construction,818,788,--,"Ahura Centre,B”Wing, Mahakali Caves Road, Andheri (East) "
2,Leo Burnett,3.6,1001 to 5000 Employees,Advertising & Public Relations,1.8T,246,318,5 office locations
3,Pramati Technologies,4.5,1001 to 5000 Employees,Enterprise Software & Network Solutions,662,618,--,5 office locations
4,Pernod Ricard,4.2,10000+ Employees,Food & Beverage Manufacturing,1.9T,220,267,19 office locations
5,Lodha,4.2,1001 to 5000 Employees,Real Estate,868,625,2,3 office locations
6,ShareChat,3.6,1001 to 5000 Employees,Internet & Web Services,577,851,--,"Mohalla Tech Private Limited North Tower Smartworks Vaishnavi Tech Park Survey No 16/1 & No 17/2 Ambalipura Village, Varthur Hobli, Bangalore East Taluk "
7,Aptara,3.5,5001 to 10000 Employees,Accounting & Tax,790,657,20,6 office locations
8,Shriram Transport Finance,3.6,10000+ Employees,Banking & Lending,702,801,--,"Headquarters in Mumbai, India"
9,Fidelity International,4.1,5001 to 10000 Employees,Investment & Asset Management,2.3T,1.1T,106,9 office locations
10,Applebee's,3.6,10000+ Employees,Restaurants & Cafes,8.9T,60,6T,"Headquarters in Pasadena, United States"
11,Online Data Entry Job,4.1,Unknown,N/A,575,1T,--,N/A
12,Life Insurance Corporation of India,4.2,10000+ Employees,Insurance Carriers,732,831,12,"Headquarters in Mumbai, India"
13,SUEZ,3.7,10000+ Employees,Energy & Utilities,2.3T,156,1.1T,25 office locations
14,Nordstrom,3.6,10000+ Employees,"Department, Clothing & Shoe Stores",23.4T,33,1.2T,"1700 7th Ave., Ste. 1500,  Seattle WA 98101 "
15,RBL Bank,3.7,5001 to 10000 Employees,Banking & Lending,702,865,--,"Bengaluru, KA"
16,Netscribes,4.0,501 to 1000 Employees,Business Consulting,768,673,9,3 office locations
17,Indium Software,4.2,1001 to 5000 Employees,Information Technology Support Services,720,732,31,3 office locations
18,The Times of India,3.9,501 to 1000 Employees,Publishing,877,666,1,"Ahmedabad, GJ"
19,Radisson Hotel Group,3.7,10000+ Employees,N/A,1.4T,350,49,"Headquarters in Brussels, Belgium"
20,Computer Age Management Services,4.1,1001 to 5000 Employees,Information Technology Support Services,759,740,--,2 office locations
21,SG Analytics,3.8,501 to 1000 Employees,Business Consulting,665,710,6,4 office locations
22,Infiniti Research,4.1,501 to 1000 Employees,Business Consulting,732,535,11,"Bengaluru, KA"
23,Sterling,3.7,5001 to 10000 Employees,Internet & Web Services,940,358,35,22 office locations
24,ConnectWise,3.7,1001 to 5000 Employees,Information Technology Support Services,826,336,24,15 office locations
25,Cimpress,4.0,5001 to 10000 Employees,Internet & Web Services,556,557,54,6 office locations
26,Robert Half,3.8,10000+ Employees,HR Consulting,12.9T,43,9.3T,25 office locations
27,Viatris,3.8,10000+ Employees,Biotech & Pharmaceuticals,1.1T,310,348,11 office locations
28,TA Digital,4.0,1001 to 5000 Employees,Software Development,559,425,1,7 office locations
29,Canon,3.5,10000+ Employees,Consumer Product Manufacturing,2.3T,159,684,29 office locations
